,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"2. Viviendas particulares ocupadas con moradores presentes por cantidad de dormitorios, según comuna.",,,,,,,,,,,,,,
Código región,Región,Código provincia,Provincia,Código comuna,Comuna,Viviendas particulares ocupadas con moradores presentes,0 dormitorios,1 dormitorio,2 dormitorios,3 dormitorios,4 dormitorios,5 dormitorios,6 o más dormitorios,Cantidad de dormitorios no declarado
13,Metropolitana de Santiago,134,Maipo,13404,Paine,25.047,53,5.411,9.307,7.287,2.325,508,156,0
13,Metropolitana de Santiago,135,Melipilla,13501,Melipilla,45.253,87,10.245,17.077,13.390,3.419,728,297,10
13,Metropolitana de Santiago,135,Melipilla,13502,Alhué,2.704,3,922,959,621,162,25,10,2
13,Metropolitana de Santiago,135,Melipilla,13503,Curacaví,11.755,22,2.646,4.507,3.340,949,221,66,4
13,Metropolitana de Santiago,135,Melipilla,13504,María Pinto,5.169,9,1.368,1.892,1.405,412,68,13,2
13,Metropolitana de Santiago,135,Melipilla,13505,San Pedro,3.899,14,1.096,1.375,1.029,293,68,23,1
13,Metropolitana de Santiago,136,Talagante,13601,Talagante,23.762,68,4.549,9.251,6.930,2.247,537,179,1
13,Metropolitana de Santiago,136,Talagante,13602,El Monte,11.911,48,2.360,5.058,3.281,913,200,50,1
13,Metropolitana de Santiago,136,Talagante,13603,Isla de Maipo,12.666,26,2.473,5.015,3.723,1.109,240,78,2
13,Metropolitana de Santiago,136,Talagante,13604,Padre Hurtado,25.319,58,4.719,9.323,8.771,1.965,373,103,7
13,Metropolitana de Santiago,136,Talagante,13605,Peñaflor,29.792,61,5.945,11.710,9.067,2.367,465,175,2
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6101,Rancagua,90.497,185,20.368,36.973,27.145,4.793,785,232,16
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6102,Codegua,4.572,14,890,1.906,1.280,377,86,18,1
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6103,Coinco,2.755,5,681,1.046,762,214,36,11,0
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6104,Coltauco,7.406,17,1.755,2.945,2.050,511,98,30,0
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6105,Doñihue,7.601,9,1.824,2.896,2.197,559,79,36,1
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6106,Graneros,11.700,16,2.517,4.582,3.529,836,163,57,0
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6107,Las Cabras,9.625,24,3.104,3.473,2.317,550,120,37,0
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6108,Machalí,20.193,28,3.372,6.540,7.783,2.073,328,68,1
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6109,Malloa,4.824,16,1.149,1.970,1.249,360,64,16,0
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6110,Mostazal,8.756,12,2.159,3.302,2.408,675,153,47,0
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6111,Olivar,4.634,9,1.210,1.731,1.232,351,84,16,1
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6112,Peumo,4.767,12,1.169,1.828,1.332,343,66,17,0
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6113,Pichidegua,7.063,10,2.253,2.723,1.612,371,69,25,0
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6114,Quinta de Tilcoco,4.698,9,1.262,1.938,1.132,297,47,13,0
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6115,Rengo,21.814,23,5.318,8.769,6.198,1.234,221,51,0
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6116,Requínoa,9.631,23,2.300,3.687,2.593,799,183,45,1
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6117,San Vicente,17.267,51,3.746,6.539,5.077,1.431,308,115,0
6,Libertador General Bernardo O'Higgins,62,Cardenal Caro,6201,Pichilemu,7.642,41,1.343,3.077,2.314,657,165,43,2
6,Libertador General Bernardo O'Higgins,62,Cardenal Caro,6202,La Estrella,1.784,6,668,602,377,106,19,6,0
6,Libertador General Bernardo O'Higgins,62,Cardenal Caro,6203,Litueche,3.349,9,1.363,1.114,654,164,38,7,0
6,Libertador General Bernardo O'Higgins,62,Cardenal Caro,6204,Marchihue,3.249,10,1.125,1.159,728,180,38,9,0
6,Libertador General Bernardo O'Higgins,62,Cardenal Caro,6205,Navidad,3.628,12,1.215,1.250,822,257,55,17,0
6,Libertador General Bernardo O'Higgins,62,Cardenal Caro,6206,Paredones,2.829,11,725,997,787,233,54,21,1
6,Libertador General Bernardo O'Higgins,63,Colchagua,6301,San Fernando,26.879,37,6.877,10.576,7.372,1.620,312,84,1
6,Libertador General Bernardo O'Higgins,63,Colchagua,6302,Chépica,5.393,8,1.436,2.105,1.409,339,67,29,0
6,Libertador General Bernardo O'Higgins,63,Colchagua,6303,Chimbarongo,13.000,42,3.687,5.170,3.187,734,137,43,0
6,Libertador General Bernardo O'Higgins,63,Colchagua,6304,Lolol,2.838,0,1.005,1.044,593,165,24,7,0
6,Libertador General Bernardo O'Higgins,63,Colchagua,6305,Nancagua,6.274,6,1.308,2.507,1.818,504,99,32,0
6,Libertador General Bernardo O'Higgins,63,Colchagua,6306,Palmilla,4.341,7,984,1.699,1.245,320,62,24,0
6,Libertador General Bernardo O'Higgins,63,Colchagua,6307,Peralillo,4.408,7,1.414,1.661,1.004,252,52,18,0
6,Libertador General Bernardo O'Higgins,63,Colchagua,6308,Placilla,3.231,3,698,1.174,958,286,82,30,0
