,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"2. Viviendas censadas por tipo de vivienda, según comuna.",,,,,,,,,,,,,,,,
Código región,Región,Código provincia,Provincia,Código comuna,Comuna,Viviendas censadas,Casa con acceso directo desde la calle,Casa en condominio cerrado,Departamento en edificio con ascensor,Departamento en edificio sin ascensor,Vivienda tradicional indígena (ruka u otras),Pieza en casa antigua o conventillo,"Mediagua, mejora, vivienda de emergencia, rancho o choza","Móvil (carpa, casa rodante o similar)",Otro tipo de vivienda particular,Viviendas Colectivas
13,Metropolitana de Santiago,131,Santiago,13113,La Reina,31.640,13.911,10.777,3.813,2.943,6,47,2,2,95,44
13,Metropolitana de Santiago,131,Santiago,13114,Las Condes,129.033,28.612,6.152,84.109,9.857,10,36,16,6,139,96
13,Metropolitana de Santiago,131,Santiago,13115,Lo Barnechea,36.387,15.007,8.643,9.846,2.646,4,45,107,3,69,17
13,Metropolitana de Santiago,131,Santiago,13116,Lo Espejo,27.356,22.916,81,24,4.074,6,150,16,7,72,10
13,Metropolitana de Santiago,131,Santiago,13117,Lo Prado,31.009,20.756,552,335,8.585,11,624,27,11,101,7
13,Metropolitana de Santiago,131,Santiago,13118,Macul,50.722,19.311,3.128,18.898,9.134,11,63,18,11,120,28
13,Metropolitana de Santiago,131,Santiago,13119,Maipú,169.373,129.098,17.056,2.752,19.269,32,172,553,23,377,41
13,Metropolitana de Santiago,131,Santiago,13120,Ñuñoa,121.519,16.998,4.433,77.134,22.490,20,199,6,5,139,95
13,Metropolitana de Santiago,131,Santiago,13121,Pedro Aguirre Cerda,31.034,25.672,452,57,4.434,2,313,17,10,70,7
13,Metropolitana de Santiago,131,Santiago,13122,Peñalolén,75.509,49.391,12.853,2.183,10.424,14,331,80,18,193,22
13,Metropolitana de Santiago,131,Santiago,13123,Providencia,76.476,6.770,918,56.632,11.565,15,380,7,8,81,100
13,Metropolitana de Santiago,131,Santiago,13124,Pudahuel,73.709,52.889,7.128,2.135,11.062,14,168,139,4,161,9
13,Metropolitana de Santiago,131,Santiago,13125,Quilicura,66.994,40.547,9.089,1.171,15.493,23,207,266,4,186,8
13,Metropolitana de Santiago,131,Santiago,13126,Quinta Normal,46.815,24.242,1.813,13.043,5.300,16,2.041,87,7,235,31
13,Metropolitana de Santiago,131,Santiago,13127,Recoleta,55.881,32.549,1.704,8.123,6.532,32,6.492,67,14,338,30
13,Metropolitana de Santiago,131,Santiago,13128,Renca,46.455,31.512,2.626,1.143,10.492,19,488,72,3,94,6
13,Metropolitana de Santiago,131,Santiago,13129,San Joaquín,33.856,21.380,936,4.992,5.346,9,1.053,27,5,92,16
13,Metropolitana de Santiago,131,Santiago,13130,San Miguel,65.828,13.265,1.314,46.340,4.085,5,682,12,5,69,51
13,Metropolitana de Santiago,131,Santiago,13131,San Ramón,23.821,20.134,224,22,3.005,5,102,60,7,253,9
13,Metropolitana de Santiago,131,Santiago,13132,Vitacura,34.538,10.834,951,20.820,1.889,2,2,1,1,23,15
13,Metropolitana de Santiago,132,Cordillera,13201,Puente Alto,190.374,137.076,31.067,876,19.766,38,457,643,50,331,70
13,Metropolitana de Santiago,132,Cordillera,13202,Pirque,10.189,7.397,2.648,2,3,0,10,33,3,85,8
13,Metropolitana de Santiago,132,Cordillera,13203,San José de Maipo,8.027,7.381,521,1,17,0,7,43,2,45,10
13,Metropolitana de Santiago,133,Chacabuco,13301,Colina,54.790,32.076,18.680,150,3.361,13,103,255,6,119,27
13,Metropolitana de Santiago,133,Chacabuco,13302,Lampa,50.284,33.331,14.388,76,1.876,10,39,363,16,171,14
13,Metropolitana de Santiago,133,Chacabuco,13303,Tiltil,8.234,7.203,943,1,1,0,6,12,1,62,5
13,Metropolitana de Santiago,134,Maipo,13401,San Bernardo,102.253,67.270,14.321,2.380,16.831,20,612,298,41,432,48
13,Metropolitana de Santiago,134,Maipo,13402,Buin,42.459,35.077,6.653,215,153,4,65,157,2,112,21
