,,,,,,,,,,,
,,,,,,,,,,,
"2. Población censada por tramo de edad e índice de envejecimiento, según sexo y comuna.",,,,,,,,,,,
Código región,Región,Código provincia,Provincia,Código comuna,Comuna,Sexo,Población censada,0-14,15-64,65 años o más,Índice de envejecimiento
6,Libertador General Bernardo O'Higgins,62,Cardenal Caro,6203,Litueche,Mujer,4.409,752,2.831,826,"109,8"
6,Libertador General Bernardo O'Higgins,62,Cardenal Caro,6204,Marchihue,Total Comuna,8.715,1.387,5.664,1.664,"120,0"
6,Libertador General Bernardo O'Higgins,62,Cardenal Caro,6204,Marchihue,Hombre,4.347,722,2.791,834,"115,5"
6,Libertador General Bernardo O'Higgins,62,Cardenal Caro,6204,Marchihue,Mujer,4.368,665,2.873,830,"124,8"
6,Libertador General Bernardo O'Higgins,62,Cardenal Caro,6205,Navidad,Total Comuna,8.885,1.467,5.456,1.962,"133,7"
6,Libertador General Bernardo O'Higgins,62,Cardenal Caro,6205,Navidad,Hombre,4.521,774,2.768,979,"126,5"
6,Libertador General Bernardo O'Higgins,62,Cardenal Caro,6205,Navidad,Mujer,4.364,693,2.688,983,"141,8"
6,Libertador General Bernardo O'Higgins,62,Cardenal Caro,6206,Paredones,Total Comuna,7.228,1.081,4.563,1.584,"146,5"
6,Libertador General Bernardo O'Higgins,62,Cardenal Caro,6206,Paredones,Hombre,3.667,542,2.319,806,"148,7"
6,Libertador General Bernardo O'Higgins,62,Cardenal Caro,6206,Paredones,Mujer,3.561,539,2.244,778,"144,3"
